AudioFileName,SpeakerID,Gender,Transcript
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_992.mp3,SP1,M, Nzâknù 11. Ndōō lɑ̀hsì/lə̀hsì. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_993.mp3,SP1,M, Ncò lɑ̀’ wáá mmɑ̀’mbō. Làh ndɑ́hsí mbɑ̄ làh ndɑ́h ncámncām. Ǒ ìndī’ měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ndōō lɑ̀hsì mɑ̀ ghə̀ə̄ fè’éfě’è. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_994.mp3,SP1,M, Sī ghɑ̀' nù bɑ́ bɑ̄. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_995.mp3,SP1,M," Sī sə̀ə̄wū bɑ́ bɑ̄, ǒ sì cə̄ə̄. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_996.mp3,SP1,M, Ǒ sì īmbát mmwēn. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_997.mp3,SP1,M," Cə̄ə̄ ncāb, ǒ sì cə̄ə̄ mɑ́ tɑ̀’. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_998.mp3,SP1,M," Ngɑ̌ yú', ngɑ̌ lɑ̀hsì/lə̀hsì ō. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_999.mp3,SP1,M, Pɑ́ ń dɑ̀ īmbát mfʉ́ɑ́' sə̀ə̄līē'. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1000.mp3,SP1,M," Ngɑ̌ zhí mɑ́ ngɑ̌ hèè, tɑ́', cʉ̄cō’ò ngɑ̌ hèè sì zhī. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1001.mp3,SP1,M, Yáá mɑ̀njā' lā mvàk yì ngɑ̌ nhɑ̄ ō ngǎngà lɑ́. Lɑ̀hsì ā mvàk yì ngɑ̌ nhɑ̄ ō ngǎngà lɑ́. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1002.mp3,SP1,M, Lɑ̀hsì/lə̀hsì ā lɑ́. Yáá mɑ̀njā' lā. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1003.mp3,SP1,M," Ngɑ̌ kwɑ̀' tɑ̀' wūnèhē, nshǐnɑ̄h tɑ́ ngɑ̌ mɑ̀ndáh ndōō lɑ̀hsǐ mbú ò. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1004.mp3,SP1,M," Ngɑ̌ zǎknjǎm ò, ngɑ̌ hɑ́ ō yá'nthʉ̄, ngɑ̌ tə́ə́mvàk ō kīkēē, tɑ́' pó nzáb mōō ncáh mɑ̀ ndʉ̄ɑ̄. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1005.mp3,SP1,M, Nɑ̄' nnāk ā ndǒk à ngwǎ' mbhʉ̄ ghǎm. 
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1006.mp3,SP1,M," Ngɑ̌ pén ō, ǒ mbūāsī pɑ́' mēn nzhʉ̀nzhʉ̀ɑ̀ lɑ́. "
/content/drive/MyDrive/Resulam/Mbú'ŋwɑ̀'nì/Livres Nufi/audio/PhraseBookNufi/nufi_phrasebook_1007.mp3,SP1,M, Ncà' sī wū bɑ̄. 
